,Time,Event,Part,Process,Machine
0,0,Part1 Created,Part_0,Source,
1,0,Part2 Created,Part_1,Source,
2,0,Routing Start,Part_0,Source,
3,0,Part3 Created,Part_2,Source,
4,0,Part4 Created,Part_3,Source,
5,0,Routing Finished,Part_0,Source,
6,0,Part transferred from Source,Part_0,FS_0,
7,0,Part5 Created,Part_4,Source,
8,0,Routing Start,Part_1,Source,
9,0,Part6 Created,Part_5,Source,
10,0,Started,Part_0,FS_0,M0
11,0,Part7 Created,Part_6,Source,
12,0,Part8 Created,Part_7,Source,
13,0,Part9 Created,Part_8,Source,
14,0,Part10 Created,Part_9,Source,
15,0,Part11 Created,Part_10,Source,
16,0,Part12 Created,Part_11,Source,
17,0,Part13 Created,Part_12,Source,
18,0,Part14 Created,Part_13,Source,
19,0,Part15 Created,Part_14,Source,
20,0,Part16 Created,Part_15,Source,
21,0,Part17 Created,Part_16,Source,
22,0,Part18 Created,Part_17,Source,
23,0,Part19 Created,Part_18,Source,
24,0,Part20 Created,Part_19,Source,
25,20,Finished,Part_0,FS_0,M0
26,20,Started,Part_0,FS_1,M1
27,20,Routing Finished,Part_1,Source,
28,20,Part transferred from Source,Part_1,FS_0,
29,20,Routing Start,Part_2,Source,
30,20,Started,Part_1,FS_0,M0
31,30,Finished,Part_0,FS_1,M1
32,30,Started,Part_0,FS_2,M2
33,44,Finished,Part_1,FS_0,M0
34,44,Started,Part_1,FS_1,M1
35,44,Routing Finished,Part_2,Source,
36,44,Part transferred from Source,Part_2,FS_0,
37,44,Routing Start,Part_3,Source,
38,44,Started,Part_2,FS_0,M0
39,56,Finished,Part_0,FS_2,M2
40,56,Finished,Part_1,FS_1,M1
41,56,Started,Part_0,FS_3,M3
42,56,Started,Part_1,FS_2,M2
43,59,Finished,Part_2,FS_0,M0
44,59,Started,Part_2,FS_1,M1
45,59,Routing Finished,Part_3,Source,
46,59,Part transferred from Source,Part_3,FS_0,
47,59,Routing Start,Part_4,Source,
48,59,Started,Part_3,FS_0,M0
49,69,Finished,Part_1,FS_2,M2
50,72,Finished,Part_2,FS_1,M1
51,75,Finished,Part_0,FS_3,M3
52,75,Started,Part_0,FS_4,M4
53,75,Started,Part_1,FS_3,M3
54,75,Started,Part_2,FS_2,M2
55,87,Finished,Part_3,FS_0,M0
56,87,Started,Part_3,FS_1,M1
57,87,Routing Finished,Part_4,Source,
58,87,Part transferred from Source,Part_4,FS_0,
59,87,Routing Start,Part_5,Source,
60,87,Started,Part_4,FS_0,M0
61,94,Finished,Part_0,FS_4,M4
62,94,Started,Part_0,Buffer,Buffer
63,94,Finished,Part_0,Buffer,Buffer
64,94,Started,Part_0,PMS,M5
65,96,Finished,Part_2,FS_2,M2
66,99,Finished,Part_1,FS_3,M3
67,99,Started,Part_1,FS_4,M4
68,99,Started,Part_2,FS_3,M3
69,109,Finished,Part_4,FS_0,M0
70,110,Finished,Part_1,FS_4,M4
71,110,Started,Part_1,Buffer,Buffer
72,110,Finished,Part_1,Buffer,Buffer
73,110,Started,Part_1,PMS,M6
74,114,Finished,Part_3,FS_1,M1
75,114,Started,Part_3,FS_2,M2
76,114,Started,Part_4,FS_1,M1
77,114,Routing Finished,Part_5,Source,
78,114,Part transferred from Source,Part_5,FS_0,
79,114,Routing Start,Part_6,Source,
80,114,Started,Part_5,FS_0,M0
81,117,Finished,Part_2,FS_3,M3
82,117,Started,Part_2,FS_4,M4
83,130,Finished,Part_5,FS_0,M0
84,131,Finished,Part_4,FS_1,M1
85,134,Finished,Part_2,FS_4,M4
86,134,Started,Part_2,Buffer,Buffer
87,134,Finished,Part_2,Buffer,Buffer
88,134,Started,Part_2,PMS,M7
89,141,Finished,Part_3,FS_2,M2
90,141,Started,Part_3,FS_3,M3
91,141,Started,Part_4,FS_2,M2
92,141,Started,Part_5,FS_1,M1
93,141,Routing Finished,Part_6,Source,
94,141,Part transferred from Source,Part_6,FS_0,
95,141,Routing Start,Part_7,Source,
96,141,Started,Part_6,FS_0,M0
97,157,Finished,Part_3,FS_3,M3
98,157,Started,Part_3,FS_4,M4
99,161,Finished,Part_5,FS_1,M1
100,165,Finished,Part_4,FS_2,M2
101,165,Started,Part_4,FS_3,M3
102,165,Started,Part_5,FS_2,M2
103,166,Finished,Part_6,FS_0,M0
104,166,Started,Part_6,FS_1,M1
105,166,Routing Finished,Part_7,Source,
106,166,Part transferred from Source,Part_7,FS_0,
107,166,Routing Start,Part_8,Source,
108,166,Started,Part_7,FS_0,M0
109,168,Finished,Part_3,FS_4,M4
110,168,Started,Part_3,Buffer,Buffer
111,179,Finished,Part_5,FS_2,M2
112,180,Finished,Part_0,PMS,M5
113,180,Finished,Part_6,FS_1,M1
114,180,Completed,Part_0,Sink,
115,180,Finished,Part_3,Buffer,Buffer
116,180,Started,Part_3,PMS,M5
117,184,Finished,Part_4,FS_3,M3
118,184,Started,Part_4,FS_4,M4
119,184,Started,Part_5,FS_3,M3
120,184,Started,Part_6,FS_2,M2
121,193,Finished,Part_1,PMS,M6
122,193,Finished,Part_7,FS_0,M0
