,Machine,Job,Start,Finish,Delta
0,M0,Part_0,0,20,20
1,M0,Part_1,20,44,24
2,M1,Part_0,20,30,10
3,M2,Part_0,30,56,26
4,M1,Part_1,44,56,12
5,M0,Part_2,44,59,15
6,M3,Part_0,56,75,19
7,M2,Part_1,56,69,13
8,M1,Part_2,59,72,13
9,M0,Part_3,59,87,28
10,M2,Part_2,75,96,21
11,M3,Part_1,75,99,24
12,M4,Part_0,75,94,19
13,M1,Part_3,87,114,27
14,M0,Part_4,87,109,22
15,Buffer,Part_0,94,94,0
16,M5,Part_0,94,180,86
17,M3,Part_2,99,117,18
18,M4,Part_1,99,110,11
19,M6,Part_1,110,193,83
20,Buffer,Part_1,110,110,0
21,M1,Part_4,114,131,17
22,M0,Part_5,114,130,16
23,M2,Part_3,114,141,27
24,M4,Part_2,117,134,17
25,M7,Part_2,134,223,89
26,Buffer,Part_2,134,134,0
27,M3,Part_3,141,157,16
28,M0,Part_6,141,166,25
29,M1,Part_5,141,161,20
30,M2,Part_4,141,165,24
31,M4,Part_3,157,168,11
32,M3,Part_4,165,184,19
33,M2,Part_5,165,179,14
34,M1,Part_6,166,180,14
35,M0,Part_7,166,193,27
36,Buffer,Part_3,168,180,12
37,M5,Part_3,180,272,92
38,M2,Part_6,184,195,11
39,M4,Part_4,184,203,19
40,M3,Part_5,184,201,17
41,M1,Part_7,193,217,24
42,M0,Part_8,193,222,29
43,M3,Part_6,203,229,26
44,M4,Part_5,203,227,24
45,Buffer,Part_4,203,203,0
46,M6,Part_4,203,301,98
47,M2,Part_7,217,233,16
48,M1,Part_8,222,242,20
49,M0,Part_9,222,237,15
50,Buffer,Part_5,227,227,0
51,M7,Part_5,227,323,96
52,M4,Part_6,229,245,16
53,M3,Part_7,233,253,20
54,M0,Part_10,242,256,14
55,M1,Part_9,242,257,15
56,M2,Part_8,242,269,27
57,Buffer,Part_6,245,272,27
58,M4,Part_7,253,277,24
59,M2,Part_9,269,295,26
60,M0,Part_11,269,292,23
61,M1,Part_10,269,286,17
62,M3,Part_8,269,297,28
63,M5,Part_6,272,356,84
64,Buffer,Part_7,277,301,24
65,M4,Part_8,297,318,21
66,M3,Part_9,297,325,28
67,M1,Part_11,297,310,13
68,M2,Part_10,297,312,15
69,M0,Part_12,297,314,17
70,M6,Part_7,301,397,96
71,Buffer,Part_8,318,323,5
72,M7,Part_8,323,417,94
73,M1,Part_12,325,343,18
74,M3,Part_10,325,347,22
75,M0,Part_13,325,343,18
76,M4,Part_9,325,341,16
77,M2,Part_11,325,351,26
78,Buffer,Part_9,341,356,15
79,M4,Part_10,347,368,21
80,M3,Part_11,351,373,22
81,M0,Part_14,351,367,16
82,M2,Part_12,351,371,20
83,M1,Part_13,351,365,14
84,M5,Part_9,356,443,87
85,Buffer,Part_10,368,397,29
86,M4,Part_11,373,399,26
87,M0,Part_15,373,393,20
88,M1,Part_14,373,391,18
89,M2,Part_13,373,402,29
90,M3,Part_12,373,393,20
91,M6,Part_10,397,480,83
92,Buffer,Part_11,399,417,18
93,M4,Part_12,399,424,25
94,M3,Part_13,402,428,26
95,M1,Part_15,402,427,25
96,M0,Part_16,402,425,23
97,M2,Part_14,402,423,21
98,M7,Part_11,417,507,90
99,Buffer,Part_12,424,443,19
100,M1,Part_16,428,455,27
101,M4,Part_13,428,443,15
102,M3,Part_14,428,451,23
103,M0,Part_17,428,456,28
104,M2,Part_15,428,451,23
105,M5,Part_12,443,524,81
106,Buffer,Part_13,443,480,37
107,M4,Part_14,451,464,13
108,M3,Part_15,451,473,22
109,M2,Part_16,455,469,14
110,M0,Part_18,456,466,10
111,M1,Part_17,456,485,29
112,Buffer,Part_14,464,507,43
113,M3,Part_16,473,489,16
114,M4,Part_15,473,502,29
115,M6,Part_13,480,560,80
116,M0,Part_19,485,508,23
117,M1,Part_18,485,499,14
118,M2,Part_17,485,507,22
119,Buffer,Part_15,502,524,22
120,M4,Part_16,502,520,18
121,M2,Part_18,507,531,24
122,M7,Part_14,507,606,99
123,M3,Part_17,507,531,24
124,M1,Part_19,508,526,18
125,Buffer,Part_16,520,560,40
126,M5,Part_15,524,605,81
127,M4,Part_17,531,558,27
128,M2,Part_19,531,552,21
129,M3,Part_18,531,547,16
130,Buffer,Part_17,558,605,47
131,M4,Part_18,558,577,19
132,M3,Part_19,558,573,15
133,M6,Part_16,560,640,80
134,Buffer,Part_18,577,606,29
135,M4,Part_19,577,593,16
136,Buffer,Part_19,593,640,47
137,M5,Part_17,605,702,97
138,M7,Part_18,606,703,97
139,M6,Part_19,640,730,90
